date,category_name,amount,notes,user_id
2018-02-19,Household,19.07,Groceries,6
2018-02-21,Dining Out,3,Pizza and cinamon rolls,6
2018-02-22,Misc,4.5,Laundry,6
2018-02-22,Household,6.69,Groceries,6
2018-02-23,Studio Income,376.4,Equinox pay,6
2018-02-23,Tax Savings,94.1,Savings,6
2018-02-23,Taxes Witheld,87.75,Taxes withheld,6
2018-02-24,Misc,2,Buskers on train,6
2018-02-26,Misc,3,Laundry,6
2018-02-26,Household,11.83,Groceries,6
2018-02-28,Dining Out,2,Pizza lunch,6
2018-03-01,Misc Income,282.848,Core Income,6
2018-03-01,Tax Savings,70.712,Savings,6
2018-03-01,Taxes Witheld,34.94,Taxes withheld,6
2018-03-01,Living Space,944,January Rent,6
2018-03-01,Misc,10.81,Apple Music,6
2018-03-01,Transportation,121,Unlimited Metro Pass,6
2018-03-01,Misc,10,Matt's Missionary Fund,6
2018-03-01,Entertainment,9.95,MoviePass,6
2018-03-01,Dining Out,1,bagel,6
2018-03-02,Misc Income,247.56,Wendy Income,6
2018-03-02,Tax Savings,61.89,Savings,6
2018-03-02,Taxes Witheld,35.55,Taxes withheld,6
2018-03-03,Household,23.12,Groceries,6
2018-03-04,Dining Out,2.25,Bagel lunch,6
2018-03-11,Studio Income,122.544,Pilates Movement Income,6
2018-03-11,Tax Savings,30.636,Savigns,6
2018-03-11,Taxes Witheld,13.82,Taxes Withheld,6
2018-03-05,Dining Out,2,Pizza,6
2018-03-09,Studio Income,231.92,Equinox Income,6
2018-03-09,Tax Savings,57.98,Savings,6
2018-03-09,Taxes Witheld,30.6,Taxes Withheld,6
2018-03-09,Gift Expense,23.14,Dining out w/Michael y Mary,6
2018-03-09,Dining Out,1,Pizza,6
2018-03-10,Misc,1,Guy on train,6
2018-03-11,Misc,4.5,Laundry,6
2018-03-11,Household,31.53,Groceries,6
2018-03-12,Dining Out,3,Pizza,6
2018-03-13,Misc,20,Haircut,6
2018-03-15,Misc Income,174.68,Core Income,6
2018-03-15,Tax Savings,43.67,Savings,6
2018-03-15,Taxes Witheld,19.7,Taxes Wittheld,6
2018-03-16,Misc Income,713.36,Driving Income,6
2018-03-16,Tax Savings,178.34,Savings,6
2018-03-16,Taxes Witheld,199.9,Taxes withheld,6
2018-03-18,Gift Income,50,Grandma+Grandpa Birthday gift,6
2018-03-18,Gift Income,50,Amy+Matt Birthday gift,6
2018-03-18,Misc,5.25,Laundry,6
2018-03-18,Household,8.48,Groceries,6
2018-03-18,Household,14.38,Groceries,6
2018-03-18,Gift Income,50,Pilates Movement Birthday Gift,6
2018-03-19,Dining Out,3,Pizza and Water,6
2018-03-20,Gift Expense,19.99,Keyboard from Amazon,6
2018-03-23,Studio Income,237.176,Equinox Income,6
2018-03-23,Tax Savings,59.294,Savings,6
2018-03-23,Taxes Witheld,32.53,Taxes Withheld,6
2018-03-24,Gift Expense,39,Drinks w/Nancee,6
2018-03-25,Studio Income,122.536,Pilates Movement Check,6
2018-03-25,Tax Savings,30.634,Savings,6
2018-03-25,Taxes Witheld,13.83,Taxes Withheld,6
2018-03-25,Household,16.85,Groceries,6
2018-03-26,Dining Out,2,Pizza,6
2018-03-26,Misc,4.5,Laundry,6
2018-03-29,Misc Income,269.2,Core Income,6
2018-03-29,Tax Savings,67.3,Savings,6
2018-03-29,Taxes Witheld,32.2,Taxes Withheld,6
